identifiant,pays,score irc,rang par mortalites,deces_total,perte_PIB_total,rang_pertes_PPA,pertes_totales_PPA,nombre total d’habitants
0,Saudi Arabia,72.5,18,140,0.0001,119,1.229,33413660
1,Romania,61.5,102,1,0.6746,11,2797.884,19473936
2,Spain,66.33,47,22,0.0394,31,637.07,46796540
3,Slovenia,124.5,114,0,0.0250,135,0.0,2079976
4,South Sudan,117.33,114,0,0.0021,122,0.508,10975920
5,Sierra Leone,88.5,68,10,0.0011,131,0.114,7650154
6,South Africa,45.67,51,19,0.4722,7,3427.958,57779622
7,Serbia,75.5,114,0,0.2794,45,272.927,6982084
8,Slovak Republic,105.33,102,1,0.0046,106,7.468,5446771
9,Solomon Islands,76.83,102,1,0.0445,121,0.511,611343
10,Swaziland,109.33,114,0,0.0174,118,1.89,1132657
11,Turkey,106.0,57,13,0.0002,115,3.223,82319724
12,Tanzania,68.67,26,79,0.0123,98,17.055,56313429
13,Tunisia,124.5,114,0,0.0250,135,0.0,11565204
14,Thailand,57.0,60,12,0.2557,10,2838.711,69428524
15,The Bahamas,22.83,39,33,0.9035,72,80.642,385637
16,Uganda,110.5,81,4,0.0012,120,0.986,42723139
17,Vietnam,43.5,25,91,0.1486,26,822.584,95540395
18,United Kingdom,65.17,65,11,0.1071,8,2894.407,66460344
19,Uruguay,97.5,114,0,0.0471,89,34.317,3449299
20,Venezuela,124.5,114,0,0.0250,135,0.0,28887118
21,United States,36.17,8,325,0.1504,3,27122.7,327167434
22,Vanuatu,20.33,65,11,40.6504,43,278.862,292680
23,United Arab Emirates,109.17,85,3,0.0250,132,0.087,9630959
24,Ukraine,89.33,114,0,0.0608,54,206.68,44622516
25,Bolivia,47.0,35,43,0.0841,77,62.734,11306341
26,Belgium,52.83,5,410,0.0088,84,43.583,11422068
27,Cote d'Ivoire,95.0,53,16,0.0003,127,0.253,25069229
28,Croatia,82.67,114,0,0.1638,60,149.488,4087843
29,Sri Lanka,86.0,57,13,0.0079,97,17.608,21670000
30,Ecuador,69.17,39,33,0.0099,96,18.318,17084357
31,Egypt,59.67,17,145,0.0153,59,160.896,98423595
32,Sweden,90.33,114,0,0.0497,50,235.938,10183175
33,Moldova,66.67,114,0,1.5444,44,277.066,4033963
34,Mauritania,124.5,114,0,0.0250,135,0.0,4403319
35,Mexico,56.33,29,67,0.0559,19,1246.623,126190788
36,Singapore,124.5,114,0,0.0250,135,0.0,5638676
37,Suriname,124.5,114,0,0.0250,135,0.0,575991
38,Azerbaijan,124.5,114,0,0.0250,135,0.0,9943715
39,Australia,35.5,45,26,0.3342,6,3812.502,24992369
40,Angola,56.0,28,75,0.0388,74,71.805,30809787
41,Greece,65.33,90,2,0.2356,28,675.02,10741165
42,Guyana,124.5,114,0,0.0250,135,0.0,777859
43,Guinea,86.33,57,13,0.0029,123,0.446,13052608
44,Honduras,52.17,60,12,0.1668,75,68.647,9587522
45,Ghana,23.33,10,267,0.2655,40,306.28,29767108
46,Hungary,96.67,102,1,0.0249,76,64.401,9775564
47,Islamic Republic of Iran,52.17,30,65,0.0708,21,976.328,81800269
48,Iraq,78.0,30,65,0.0006,114,3.233,38433600
49,Indonesia,48.67,24,104,0.147,4,4186.23,267663435
50,Italy,34.83,13,174,0.0958,14,2084.897,60431283
51,Ireland,69.67,90,2,0.0923,42,281.689,4853506
52,Antigua and Barbuda,124.5,114,0,0.0250,135,0.0,96286
53,Albania,58.0,85,3,0.2254,73,73.622,2866376
54,Algeria,77.5,46,23,0.0144,71,83.645,42228429
55,Austria,57.0,81,4,0.2047,25,829.069,8847037
56,Argentina,63.67,44,28,0.042,36,371.67,44494502
57,Bahrain,124.5,114,0,0.0250,135,0.0,1569439
58,Belarus,124.5,114,0,0.0250,135,0.0,9483499
59,Barbados,124.5,114,0,0.0250,135,0.0,286641
60,Bosnia and Herzegovina,58.17,102,1,0.7565,39,308.306,3323929
61,Benin,124.5,114,0,0.0250,135,0.0,11485048
62,Cambodia,54.17,55,14,0.176,66,95.701,16249798
63,Canada,71.0,85,3,0.1334,13,2179.454,37057765
64,Central African Rep.,124.5,114,0,0.0250,135,0.0,4666377
65,Bulgaria,42.5,74,7,0.5515,27,756.356,7025037
66,Brazil,76.17,38,36,0.021,29,671.916,209288278
67,Burkina Faso,61.0,72,8,0.2725,70,84.319,19034397
68,Cameroon,102.83,81,4,0.007,110,5.098,25216237
69,China,38.0,4,916,0.1842,2,36272.535,1392730000
70,Chad,124.5,114,0,0.0250,135,0.0,15016753
71,Chile,25.17,37,39,0.6267,12,2652.691,18729160
72,Colombia,45.67,22,108,0.0496,38,331.137,49648685
73,Denmark,104.17,114,0,0.0250,85,40.34,5797446
74,Dem. Rep. Congo,65.67,32,60,0.0583,88,36.516,84004989
75,Dominican Rep.,74.83,90,2,0.1116,57,167.341,10627165
76,Czech Republic,98.67,114,0,0.027,68,91.282,10618303
77,Finland,124.5,114,0,0.0250,135,0.0,5515525
78,Estonia,124.5,114,0,0.0250,135,0.0,1315635
79,Ethiopia,64.33,114,0,0.8113,18,1314.016,109224559
80,Gabon,124.5,114,0,0.0250,135,0.0,2119275
