code_Activite,libelle_Activite,total_Ca_2022,total_Ca_2021,total_Ca_2020
0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléa.",444938141,399356495,380644117
0119Z,Autres cultures non permanentes,139460278,126256524,113129966
0121Z,Culture de la vigne,4738922,4684139,4749773
0124Z,Culture de fruits à pépins et à noyau,7713338,9411024,8624610
0130Z,Reproduction de plantes,12039362,12115378,9894184
0143Z,Élevage de chevaux et d'autres équidés,144045,132043,154417
0145Z,Élevage d'ovins et de caprins,255118,298246,221936
0147Z,Élevage de volailles,21302909,18867851,19918959
0149Z,Élevage d'autres animaux,678649,643168,684363
0150Z,Culture et élevage associés,2531069,4795354,3558349
0161Z,Activités de soutien aux cultures,56780831,53081587,49642040
0162Z,Activités de soutien a  la production animale,30356,43212,32875
0220Z,Exploitation forestière,7436286,6727253,6500215
0240Z,Services de soutien à l'exploitation forestière,1184582,1524400,923351
0322Z,Aquaculture en eau douce,7200114,5560996,4938220
0811Z,"Extra. de pierres ornementales, constr., calcaire indus., gypse, craie, ardoise",1648643,1634421,1785001
0812Z,"Exploitation de gravieres et sablieres, extraction d'argiles et de kaolin",387581,416391,409881
1011Z,Transformation et conservation de la viande de boucherie,377271614,348065899,310550497
1012Z,Transformation et conservation de la viande de volaille,2518483128,2322477135,2188328990
1013A,Préparation industrielle de produits Ã  base de viande,60086884,50637480,47946085
1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques",43266688,40279598,38373876
1031Z,Transformation et conservation de pommes de terre,273303380,250572561,243944194
1039A,Autre transformation et conservation de légumes,1264129862,1208237110,1236145376
1039B,Transformation et conservation de fruits,99206055,101644272,102084807
1041A,Fabrication d'huiles et graisses brutes,188055213,137723409,119312671
1051A,Fabrication de lait liquide et de produits frais,111102914,107505549,111978744
1051C,Fabrication de fromage,85810682,79707518,74395257
1052Z,Fabrication de glaces et sorbets,507455,503029,483762
1061B,Autres activités du travail des grains,108739962,86947110,80346401
1071A,Fabrication industrielle de pain et de pâtisserie fraîche,82754410,66722553,61383806
1071B,Cuisson de produits de boulangerie,69835,83199,92634
1071C,Boulangerie et boulangerie-pÃ¢tisserie,217825,248752,235529
1071D,Pâtisserie,14546303,11537755,9693791
1072Z,"Fabrication de biscuits, biscottes et pâtisseries de conservation",11088429,10243406,9985359
1081Z,Fabrication de sucre,126871135,84785665,109187871
1082Z,"Fabrication de cacao, chocolat et de produits de confiserie",37129174,33965582,28202009
1083Z,Transformation du thé et du café,29935153,27867229,28280963
1085Z,Fabrication de plats préparés,167827832,129749897,153486257
1089Z,Fabrication d'autres produits alimentaires n.c.a.,172861679,156445297,164744355
1091Z,Fabrication d'aliments pour animaux de ferme,351303900,297020791,304209003
1101Z,Production de boissons alcooliques distillées,1783254350,1555658593,1357014332
1102A,Fabrication de vins effervescents,33486832,28513808,29620605
1102B,Vinification,3318924,2726896,2062214
1105Z,Fabrication de bière,810049,687536,683109
1310Z,Préparation de fibres textiles et filature,9719887,8205088,7924866
1320Z,Tissage,10859825,10516458,12547077
1392Z,"Fabrication d'articles textiles, sauf habillement",82619852,72505418,64861570
1399Z,Fabrication d'autres textiles n.c.a.,57936,42283,30322
1413Z,Fabrication de vêtements de dessus,104466708,57101313,75738725
1414Z,Fabrication de vêtements de dessous,2239236,2023374,2854461
1419Z,Fabrication d'autres vêtements et accessoires,5854073,5022267,7587795
1439Z,Fabrication d'autres articles à mailles,8629980,7042446,7621721
1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",192364624,145502557,137417457
1520Z,Fabrication de chaussures,4339528,4741010,7051524
1610A,"Sciage et rabotage du bois, hors imprégnation",30168919,27815310,30602767
1610B,Imprégnation du bois,5365997,5443278,4816084
1621Z,Fabrication de placage et de panneaux de bois,86831263,77656517,68680270
1623Z,Fabrication de charpentes et d'autres menuiseries,49595698,41403386,43130884
1624Z,Fabrication d'emballages en bois,84524542,79203971,86978984
1629Z,"Fab. d'objets divers en bois, fab. d'objets en liÃ¨ge, vannerie, sparterie",160578780,123205090,135114031
1712Z,Fabrication de papier et de carton,44102572,35956430,37038002
1721A,Fabrication de carton ondulé,497535101,401174298,421055660
1721B,Fabrication de cartonnages,7672630,6433210,8719552
1721C,Fabrication d'emballages en papier,3904251,3234296,3448578
1729Z,Fabrication d'autres articles en papier ou en carton,14873217,12348863,13563052
1812Z,Autre imprimerie (labeur),171437664,151792883,170665752
1813Z,Activités de pré-presse,1028855,1077134,1388880
1814Z,Reliure et activités connexes,9802250,10888031,13593604
2014Z,Fabrication d'autres produits chimiques organiques de base,459753519,229462157,347195560
2015Z,Fabrication de produits azotés et d'engrais,84077509,64851014,61919388
2016Z,Fabrication de matières plastiques de base,184612970,152117594,164845490
2020Z,Fabrication de pesticides et d'autres produits agrochimiques,97373385,106521005,131097467
2041Z,"Fabrication de savons, détergents et produits d'entretien",5853150,8327419,6462201
2042Z,Fabrication de parfums et de produits pour la toilette,182304119,163353459,190346960
2053Z,Fabrication d'huiles essentielles,77590978,70202461,58026584
2059Z,Fabrication d'autres produits chimiques n.c.a.,116999715,90494809,96261825
2060Z,Fabrication de fibres artificielles ou synthétiques,3775802,3738264,5765815
2110Z,Fabrication de produits pharmaceutiques de base,12265758,13382821,13514506
2120Z,Fabrication de préparations pharmaceutiques,706554229,710201917,688454746
2219Z,Fabrication d'autres articles en caoutchouc,4449617,3620938,4380025
2221Z,"Fabrication de plaques, feuilles, tubes et profilés en matiÃ¨res plastiques",20832765,13141055,13824589
2222Z,Fabrication d'emballages en matières plastiques,70394415,53418009,52469891
2223Z,Fabrication d'éléments en matières plastiques pour la construction,117682170,102374881,93573222
2229A,Fabrication de pieces techniques Ã  base de matiÃ¨res plastiques,9364592,6689445,7569643
2229B,Fabrication de produits de consommation courante en matières plastiques,17287008,14938998,14360772
2312Z,Façonnage et transformation du verre plat,77908807,87595155,119802700
2320Z,Fabrication de produits réfractaires,12655774,10801734,12009788
2361Z,Fabrication d'éléments en béton pour la construction,13185612,11151222,10031309
2363Z,Fabrication de béton prêt à l'emploi,69128439,61895529,53614401
2370Z,"Taille, façonnage et finissage de pierres",23120363,20584354,19288756
2420Z,"Fabrication de tubes, tuyaux, profilés creux et access. correspondants en acier",142826654,112940540,115337842
2433Z,Profilage à froid par formage ou pliage,152137111,105776431,118752781
2442Z,Métallurgie de l'aluminium,27697993,20642584,26184330
2444Z,Métallurgie du cuivre,14286018,11485611,12081740
2445Z,Métallurgie des autres métaux non ferreux,25646395,22674808,28483578
2451Z,Fonderie de fonte,99061761,61894941,74608190
2453Z,Fonderie de métaux légers,27342002,21220567,22633639
2511Z,Fabrication de structures métalliques et de parties de structures,197089762,166266559,154637488
2512Z,Fabrication de portes et fenetres en métal,3430594,2659348,2782917
2550A,"Forge, estampage, matriçage - métallurgie des poudres",112025513,88186044,98537024
2550B,"Découpage, emboutissage",350960414,236753753,272649955
2561Z,Traitement et revêtement des métaux,77747801,62020185,60520938
2562A,Décolletage,8982577,6975175,13218361
2562B,Mécanique industrielle,180994821,143410056,176894188
2572Z,Fabrication de serrures et de ferrures,83388446,75868918,72427675
2573A,Fabrication de moules et modèles,11433523,12264958,11510223
2573B,Fabrication d'autres outillages,6904701,5697323,6520437
2599B,Fabrication d'autres articles métalliques,13094273,11288759,10603808
2611Z,Fabrication de composants électroniques,788221238,587020958,611665461
2612Z,Fabrication de cartes électroniques assemblées,52798956,44599742,47033342
2620Z,Fabrication d'ordinateurs et d'équipements périphériques,42932328,39378360,45484196
2630Z,Fabrication d'équipements de communication,3862231,3726665,3665585
2651B,Fabrication d'instrumentation scientifique et technique,101448233,77926602,89246513
2711Z,"Fabrication de moteurs, génératrices et transformateurs électriques",30692404,23482126,23647839
2712Z,Fabrication de matériel de distribution et de commande électrique,37341273,35209674,42918160
2720Z,Fabrication de piles et d'accumulateurs électriques,187481495,175773747,194371830
2740Z,Fabrication d'appareils d'éclairage électrique,97785028,107240236,112552532
2751Z,Fabrication d'appareils électroménagers,18144797,14304864,15443285
2752Z,Fabrication d'appareils ménagers non électriques,15820129,11020773,9295089
2790Z,Fabrication d'autres matériels électriques,31415579,27050968,25041965
2813Z,Fabrication d'autres pompes et compresseurs,176916642,217039930,241450831
2815Z,Fabrication d'engrenages et d'organes mécaniques de transmission,757046385,704817468,871908691
281C,FABRICATION DE MENUISERIES ET FERMETURES METALLIQUES,38110667,32494734,28426118
2822Z,Fabrication de matériel de levage et de manutention,109363921,125736380,159518610
2824Z,Fabrication d'outillage portatif à moteur incorporé,8505590,6708354,8580593
2825Z,Fabrication d'équipements aérauliques et frigorifiques industriels,84196251,70006018,75087658
2829A,"Fabrication d'équipements d'emballage, de conditionnement et de pesage",88696918,92034136,91402799
2829B,Fabrication d'autres machines d'usage général,32803352,35156329,39073250
2830Z,Fabrication de machines agricoles et forestières,80936529,65536350,58350520
2841Z,Fabrication de machines-outils pour le travail des métaux,10078548,7670463,8569569
2892Z,Fabrication de machines pour l'extraction ou la construction,343189238,287454499,316152595
2893Z,Fabrication de machines pour l'industrie agro-alimentaire,20312352,17706238,15825427
2896Z,Fabrication de machines pour le travail du caoutchouc ou des plastiques,6482219,9737283,4200186
2899A,Fabrication de machines d'imprimerie,20156350,13612210,18928814
2899B,Fabrication d'autres machines spécialisées,32702809,28726148,61419874
2920Z,Fabrication de carrosseries et remorques,43470691,38601827,41599767
2931Z,Fabrication d'équipements électriques et électroniques automobiles,13117227,11641991,12775017
2932Z,Fabrication d'autres équipements automobiles,240733879,228401376,245442220
3011Z,Construction de navires et de structures flottantes,41569116,38901893,37978709
3030Z,Construction aéronautique et spatiale,42371749,38195602,44084638
3101Z,Fabrication de meubles de bureau et de magasin,58353239,48157862,64405373
3102Z,Fabrication de meubles de cuisine,91607578,83141968,73659636
3103Z,Fabrication de matelas,11008832,10565645,816103
3109B,Fabrication d'autres meubles et industries connexes de l'ameublement,124838856,118750685,43210824
3212Z,Fabrication d'articles de joaillerie et bijouterie,920970495,639767420,597888050
3230Z,Fabrication d'articles de sport,4716538,3490971,4860296
3240Z,Fabrication de jeux et jouets,56015343,55852751,49638432
3250A,Fabrication de matériel médico-chirurgical et dentaire,58721378,45071526,47935721
3250B,Fabrication de lunettes,18958443,18070987,19741144
3299Z,Autres activités manufacturiÃ¨res n.c.a.,48112920,33865720,40646673
3311Z,Réparation d'ouvrages en métaux,24728054,15164007,11881740
3312Z,Réparation de machines et équipements mécaniques,88572659,81279446,78976283
3313Z,Réparation de matériels électroniques et optiques,25541392,22854520,19420563
3314Z,Réparation d'équipements électriques,6183789,5623215,6629928
3317Z,Réparation et maintenance d'autres équipements de transport,1127235,1119291,694304
3319Z,Réparation d'autres équipements,69487,83364,68897
3320A,"Installation de structures métalliques, chaudronnées et de tuyauterie",18304613,17885578,17071055
3320B,Installation de machines et équipements mécaniques,56294041,57161181,63781079
3320C,Concep. d'ens. et ass. sur site indus. d'équi. de contrôle des processus indus,43119483,53712044,45969649
3320D,"Instal. d'équi. électriques, de matériels électro. optiques ou d'autres mat.",213369676,185023471,194600724
3511Z,Production d'électricité,193819,189213,161055
3523Z,Commerce de combustibles gazeux par conduites,588113889,342296363,356218278
3700Z,Collecte et traitement des eaux usées,3499654,3163141,3047357
3811Z,Collecte des déchets non dangereux,8907695,7216241,5360888
3822Z,Traitement et élimination des déchets dangereux,14017523,11292945,12171212
3831Z,Démantèlement d'épaves,3556310,3428959,3044927
3832Z,Récupération de déchets triés,252076497,155631265,110090180
3900Z,Dépollution et autres services de gestion des déchets,251654,314758,257520
4110A,Promotion immobilière de logements,24311337,20867177,8364846
4110B,Promotion immobilière de bureaux,6934853,5328042,5220221
4110C,Promotion immobilière d'autres bâtiments,142372458,107380009,81782518
4110D,Supports juridiques de programmes,1434384,468066,576392
4120A,Construction de maisons individuelles,45796771,41288922,40523928
4120B,Construction d'autres bÃ¢timents,19964340,15050071,13592087
4211Z,Construction de routes et autoroutes,43033206,40423064,47909710
4213A,Construction d'ouvrages d'art,8307896,6426768,7096962
4221Z,Construction de réseaux pour fluides,84332067,69507599,66313636
4222Z,Construction de réseaux électriques et de télécommunications,30221544,28769237,26575371
4299Z,Construction d'autres ouvrages de génie civil n.c.a.,25047458,24050342,19484374
4311Z,Travaux de démolition,14781445,14274615,12726593
4312A,Travaux de terrassement courants et travaux préparatoires,138404077,128452207,123839105
4312B,Travaux de terrassement spécialisés ou de grande masse,20263907,26371904,26303462
4313Z,Forages et sondages,6689628,6157275,5326175
4321A,Travaux d'installation électrique dans tous locaux,82331910,70978011,71987672
