Id_Entreprise,nom_Entreprises,siren,Ca_2022,Effectif_2022,Ca_2021,Effectif_2021,Ca_2020,Effectif_2020,num_dept,region,code_Activite,libelle_Activite,id_Region,id_Activite
1,SPINNLER CARTONNAGES,453743825,5875290,58,4895193,0,7359230,63,26,Auvergne-Rhône-Alpes,1721B,Fabrication de cartonnages,1,0111Z
2,Euro Energies,497870261,102851657,36,81668216,29,76361333,30,79,Aquitaine-Limousin-Poitou-Charentes,4671Z,Commerce de gros (commerce interentreprises) de combustibles et de prod. annexes,2,0119Z
3,ITEC OCEAN,521402370,4567385,15,3728910,14,3893101,12,44,Pays-de-la-Loire,2712Z,Fabrication de matériel de distribution et de commande électrique,3,0121Z
4,DECITRE,956513147,58645000,214,57522389,210,57756541,260,69,Auvergne-Rhône-Alpes,4761Z,Commerce de détail de livres en magasin spécialisé,4,0124Z
5,CERTAS ENERGY FRANCE,808636849,2069521330,30,1507796957,31,2039903096,30,92,Ile-de-France,4730Z,Commerce de détail de carburants en magasin spécialisé,5,0130Z
6,LE BISTROT GOURMAND,418213815,411515,4,163939,4,430869,4,75,Ile-de-France,5610A,Restauration traditionnelle,6,0143Z
7,GC INVEST,483071031,114561,1,102443,1,157608,1,35,Bretagne,6420Z,Activités des sociétés holding,7,0145Z
8,VENDEE IMAGES,488794454,630172,26,626918,24,429009,25,85,Pays-de-la-Loire,6020B,Edition de chaînes thématiques,8,0147Z
9,RAMADE ET FILS,504559667,267023,1,196125,1,131061,0,31,Languedoc-Roussillon-Midi-Pyrénées,4321A,Travaux d'installation électrique dans tous locaux,9,0149Z
10,POUJOULAT,781446521,135166000,650,108362000,646,108115000,685,79,Aquitaine-Limousin-Poitou-Charentes,2420Z,"Fabrication de tubes, tuyaux, profilés creux et access. correspondants en acier",10,0150Z
11,ESLC ALPES,797280443,48575472,43,36392023,37,38597674,38,74,Auvergne-Rhône-Alpes,4671Z,Commerce de gros (commerce interentreprises) de combustibles et de prod. annexes,11,0161Z
12,GEFICAR,403237167,42438939,100,39725622,110,39967104,108,78,Ile-de-France,4711F,Hypermarchés,12,0162Z
13,AMBULANCES DE MONTREUIL L'ARGILLE,413926791,387958,7,390224,7,445932,5,27,Normandie,8690A,Ambulances,13,0220Z
14,SOCIETE DE TRANSFORMATION DES ACIERS A BETON,429576259,7891963,27,5114321,18,3909439,17,972,Martinique,2511Z,Fabrication de structures métalliques et de parties de structures,14,0240Z
